generation,class,card,share,n_unique_elites
0,WARRIOR,Amani Berserker,0.0909,11
0,WARRIOR,Arathi Weaponsmith,0.0909,11
0,WARRIOR,Arcane Golem,0.0909,11
0,WARRIOR,Arcanite Reaper,0.1818,11
0,WARRIOR,Argent Commander,0.1818,11
0,WARRIOR,Armorsmith,0.7273,11
0,WARRIOR,Azure Drake,0.0909,11
0,WARRIOR,Baron Geddon,0.1818,11
0,WARRIOR,Battle Rage,0.0909,11
0,WARRIOR,Brawl,0.6364,11
0,WARRIOR,Cairne Bloodhoof,0.2727,11
0,WARRIOR,Cleave,0.7273,11
0,WARRIOR,Cruel Taskmaster,0.7273,11
0,WARRIOR,Death's Bite,0.5455,11
0,WARRIOR,Defender of Argus,0.0909,11
0,WARRIOR,Demolisher,0.0909,11
0,WARRIOR,Elven Archer,0.0909,11
0,WARRIOR,Execute,1.0,11
0,WARRIOR,Faceless Manipulator,0.1818,11
0,WARRIOR,Feugen,0.1818,11
0,WARRIOR,Fiery War Axe,1.0,11
0,WARRIOR,Frothing Berserker,0.1818,11
0,WARRIOR,Gorehowl,0.3636,11
0,WARRIOR,Grommash Hellscream,0.8182,11
0,WARRIOR,Harrison Jones,0.2727,11
0,WARRIOR,Harvest Golem,0.0909,11
0,WARRIOR,Haunted Creeper,0.0909,11
0,WARRIOR,Heroic Strike,0.1818,11
0,WARRIOR,Inner Rage,0.1818,11
0,WARRIOR,Jungle Panther,0.0909,11
0,WARRIOR,Kel'Thuzad,0.0909,11
0,WARRIOR,Kor'kron Elite,0.2727,11
0,WARRIOR,Leeroy Jenkins,0.0909,11
0,WARRIOR,Leper Gnome,0.0909,11
0,WARRIOR,Lightwarden,0.0909,11
0,WARRIOR,Loatheb,0.3636,11
0,WARRIOR,Loot Hoarder,0.0909,11
0,WARRIOR,Lord of the Arena,0.0909,11
0,WARRIOR,Mad Bomber,0.0909,11
0,WARRIOR,Mind Control Tech,0.0909,11
0,WARRIOR,Mortal Strike,0.1818,11
0,WARRIOR,Raging Worgen,0.0909,11
0,WARRIOR,Ragnaros the Firelord,0.5455,11
0,WARRIOR,Reckless Rocketeer,0.0909,11
0,WARRIOR,Sen'jin Shieldmasta,0.1818,11
0,WARRIOR,Shade of Naxxramas,0.0909,11
0,WARRIOR,Shield Block,0.9091,11
0,WARRIOR,Shield Slam,0.8182,11
0,WARRIOR,Slam,0.8182,11
0,WARRIOR,Sludge Belcher,0.8182,11
0,WARRIOR,Spectral Knight,0.0909,11
0,WARRIOR,Spellbreaker,0.1818,11
0,WARRIOR,Stalagg,0.2727,11
0,WARRIOR,Sunwalker,0.0909,11
0,WARRIOR,Sylvanas Windrunner,0.4545,11
0,WARRIOR,The Black Knight,0.3636,11
0,WARRIOR,Tinkmaster Overspark,0.1818,11
0,WARRIOR,Undertaker,0.0909,11
0,WARRIOR,Unstable Ghoul,0.6364,11
0,WARRIOR,Warsong Commander,0.0909,11
0,WARRIOR,Whirlwind,0.5455,11
0,WARRIOR,Wild Pyromancer,0.0909,11
0,WARRIOR,Ysera,0.3636,11
1,HUNTER,Abusive Sergeant,0.1,10
1,HUNTER,Alexstrasza,0.2,10
1,HUNTER,Ancient Brewmaster,0.1,10
1,HUNTER,Animal Companion,0.5,10
1,HUNTER,Arcane Golem,0.1,10
1,HUNTER,Arcane Shot,0.3,10
1,HUNTER,Argent Squire,0.1,10
1,HUNTER,Baron Geddon,0.1,10
1,HUNTER,Baron Rivendare,0.1,10
1,HUNTER,Cairne Bloodhoof,0.1,10
1,HUNTER,Coldlight Oracle,0.1,10
1,HUNTER,Crazed Alchemist,0.1,10
1,HUNTER,Deadly Shot,0.2,10
1,HUNTER,Deathlord,0.1,10
1,HUNTER,Dire Wolf Alpha,0.3,10
1,HUNTER,Eaglehorn Bow,0.8,10
1,HUNTER,Elven Archer,0.1,10
1,HUNTER,Explosive Shot,0.3,10
1,HUNTER,Explosive Trap,0.8,10
1,HUNTER,Feugen,0.1,10
1,HUNTER,Flare,0.5,10
1,HUNTER,Freezing Trap,0.7,10
1,HUNTER,Frostwolf Grunt,0.1,10
1,HUNTER,Goldshire Footman,0.1,10
1,HUNTER,Harvest Golem,0.2,10
1,HUNTER,Haunted Creeper,0.6,10
1,HUNTER,Houndmaster,0.4,10
1,HUNTER,Hungry Crab,0.1,10
1,HUNTER,Hunter's Mark,0.8,10
1,HUNTER,Ironbeak Owl,0.1,10
1,HUNTER,Ironfur Grizzly,0.1,10
1,HUNTER,Kel'Thuzad,0.1,10
1,HUNTER,Kill Command,0.3,10
1,HUNTER,King Krush,0.1,10
1,HUNTER,Knife Juggler,0.1,10
1,HUNTER,Leeroy Jenkins,0.3,10
1,HUNTER,Leper Gnome,0.7,10
1,HUNTER,Loatheb,0.2,10
1,HUNTER,Loot Hoarder,0.4,10
1,HUNTER,Mad Scientist,0.7,10
1,HUNTER,Maexxna,0.1,10
1,HUNTER,Misdirection,0.4,10
1,HUNTER,Multi-Shot,0.2,10
1,HUNTER,Murloc Raider,0.1,10
1,HUNTER,Murloc Tidehunter,0.1,10
1,HUNTER,Nat Pagle,0.1,10
1,HUNTER,Nerub'ar Weblord,0.1,10
1,HUNTER,Oasis Snapjaw,0.1,10
1,HUNTER,Ragnaros the Firelord,0.1,10
1,HUNTER,Raid Leader,0.1,10
1,HUNTER,Savannah Highmane,0.5,10
1,HUNTER,Scarlet Crusader,0.1,10
1,HUNTER,Scavenging Hyena,0.1,10
1,HUNTER,Sea Giant,0.1,10
1,HUNTER,Shieldbearer,0.2,10
1,HUNTER,Silverback Patriarch,0.1,10
1,HUNTER,Sludge Belcher,0.3,10
1,HUNTER,Snake Trap,0.1,10
1,HUNTER,Stalagg,0.1,10
1,HUNTER,Starving Buzzard,0.5,10
1,HUNTER,Stonetusk Boar,0.2,10
1,HUNTER,Sylvanas Windrunner,0.1,10
1,HUNTER,Timber Wolf,0.2,10
1,HUNTER,Tracking,0.2,10
1,HUNTER,Undertaker,0.5,10
1,HUNTER,Unleash the Hounds,0.9,10
1,HUNTER,Unstable Ghoul,0.1,10
1,HUNTER,Webspinner,0.6,10
1,HUNTER,Wisp,0.1,10
1,HUNTER,Wolfrider,0.1,10
1,HUNTER,Worgen Infiltrator,0.1,10
1,HUNTER,Young Dragonhawk,0.1,10
1,HUNTER,Ysera,0.1,10
1,MAGE,Acidic Swamp Ooze,0.0952,21
1,MAGE,Acolyte of Pain,0.0952,21
1,MAGE,Alexstrasza,0.2381,21
1,MAGE,Amani Berserker,0.0952,21
1,MAGE,Arcane Explosion,0.3333,21
1,MAGE,Arcane Golem,0.0476,21
1,MAGE,Arcane Intellect,0.6667,21
1,MAGE,Arcane Missiles,0.4286,21
1,MAGE,Archmage Antonidas,0.0952,21
1,MAGE,Argent Commander,0.0952,21
1,MAGE,Azure Drake,0.2857,21
1,MAGE,Baron Rivendare,0.0476,21
1,MAGE,Blizzard,0.5238,21
1,MAGE,Bloodfen Raptor,0.0476,21
1,MAGE,Bloodmage Thalnos,0.2381,21
1,MAGE,Bluegill Warrior,0.0476,21
1,MAGE,Booty Bay Bodyguard,0.0952,21
1,MAGE,Cairne Bloodhoof,0.2381,21
1,MAGE,Chillwind Yeti,0.1429,21
1,MAGE,Cone of Cold,0.381,21
1,MAGE,Counterspell,0.5238,21
1,MAGE,Cult Master,0.0952,21
1,MAGE,Dancing Swords,0.1429,21
1,MAGE,Darkscale Healer,0.0952,21
1,MAGE,Deathlord,0.0476,21
1,MAGE,Demolisher,0.0952,21
1,MAGE,Doomsayer,0.381,21
1,MAGE,Duplicate,0.381,21
1,MAGE,Earthen Ring Farseer,0.1429,21
1,MAGE,Echoing Ooze,0.0476,21
1,MAGE,Elven Archer,0.1905,21
1,MAGE,Ethereal Arcanist,0.1905,21
1,MAGE,Faerie Dragon,0.1429,21
1,MAGE,Feugen,0.1429,21
1,MAGE,Fireball,1.0,21
1,MAGE,Flamestrike,0.9048,21
1,MAGE,Frost Nova,0.5238,21
1,MAGE,Frostbolt,0.8571,21
1,MAGE,Frostwolf Grunt,0.0476,21
1,MAGE,Frostwolf Warlord,0.0476,21
1,MAGE,Gadgetzan Auctioneer,0.0476,21
1,MAGE,Gnomish Inventor,0.0476,21
1,MAGE,Harrison Jones,0.0476,21
1,MAGE,Harvest Golem,0.0952,21
1,MAGE,Hungry Crab,0.0476,21
1,MAGE,Ice Barrier,0.619,21
1,MAGE,Ice Block,0.619,21
1,MAGE,Ice Lance,0.3333,21
1,MAGE,Imp Master,0.0952,21
1,MAGE,Ironfur Grizzly,0.0476,21
1,MAGE,Kirin Tor Mage,0.2381,21
1,MAGE,Knife Juggler,0.0476,21
1,MAGE,Leper Gnome,0.1429,21
1,MAGE,Loatheb,0.2381,21
1,MAGE,Loot Hoarder,0.1905,21
1,MAGE,Mad Scientist,0.4286,21
1,MAGE,Maexxna,0.0476,21
1,MAGE,Mana Wraith,0.0952,21
1,MAGE,Mana Wyrm,0.2381,21
1,MAGE,Mirror Entity,0.2857,21
1,MAGE,Mirror Image,0.2381,21
1,MAGE,Mogu'shan Warden,0.1429,21
1,MAGE,Molten Giant,0.0476,21
1,MAGE,Mountain Giant,0.0476,21
1,MAGE,Murloc Tidehunter,0.0952,21
1,MAGE,Nerubian Egg,0.0476,21
1,MAGE,Nightblade,0.0952,21
1,MAGE,Novice Engineer,0.1429,21
1,MAGE,Nozdormu,0.0476,21
1,MAGE,Ogre Magi,0.0476,21
1,MAGE,Polymorph,0.4762,21
1,MAGE,Pyroblast,0.381,21
1,MAGE,Ragnaros the Firelord,0.1905,21
1,MAGE,Raid Leader,0.0476,21
1,MAGE,Razorfen Hunter,0.0476,21
1,MAGE,Reckless Rocketeer,0.0476,21
1,MAGE,River Crocolisk,0.0476,21
1,MAGE,Scarlet Crusader,0.0476,21
1,MAGE,Secretkeeper,0.0476,21
1,MAGE,Sen'jin Shieldmasta,0.1905,21
1,MAGE,Shade of Naxxramas,0.0476,21
1,MAGE,Shieldbearer,0.0476,21
1,MAGE,Sludge Belcher,0.2381,21
1,MAGE,Sorcerer's Apprentice,0.2381,21
1,MAGE,Spellbender,0.1429,21
1,MAGE,Stalagg,0.2381,21
1,MAGE,Stormpike Commando,0.0952,21
1,MAGE,Stranglethorn Tiger,0.0476,21
1,MAGE,Sunwalker,0.0476,21
1,MAGE,Sylvanas Windrunner,0.1429,21
1,MAGE,Undertaker,0.1429,21
1,MAGE,Unstable Ghoul,0.0476,21
1,MAGE,Vaporize,0.381,21
1,MAGE,Venture Co. Mercenary,0.0476,21
1,MAGE,Voodoo Doctor,0.0952,21
1,MAGE,Water Elemental,0.0952,21
1,MAGE,Wild Pyromancer,0.0476,21
1,MAGE,Windfury Harpy,0.0476,21
1,MAGE,Wolfrider,0.1429,21
1,MAGE,Young Dragonhawk,0.0476,21
1,MAGE,Ysera,0.0476,21
1,WARRIOR,Abomination,0.1538,13
1,WARRIOR,Acolyte of Pain,0.8462,13
1,WARRIOR,Alexstrasza,0.4615,13
1,WARRIOR,Amani Berserker,0.0769,13
1,WARRIOR,Arathi Weaponsmith,0.1538,13
1,WARRIOR,Arcane Golem,0.0769,13
1,WARRIOR,Arcanite Reaper,0.1538,13
1,WARRIOR,Argent Commander,0.1538,13
1,WARRIOR,Armorsmith,0.7692,13
1,WARRIOR,Azure Drake,0.1538,13
1,WARRIOR,Baron Geddon,0.2308,13
1,WARRIOR,Battle Rage,0.0769,13
1,WARRIOR,Brawl,0.5385,13
1,WARRIOR,Cairne Bloodhoof,0.2308,13
1,WARRIOR,Cleave,0.6923,13
1,WARRIOR,Cruel Taskmaster,0.7692,13
1,WARRIOR,Death's Bite,0.4615,13
1,WARRIOR,Defender of Argus,0.1538,13
1,WARRIOR,Demolisher,0.0769,13
1,WARRIOR,Elven Archer,0.0769,13
1,WARRIOR,Execute,1.0,13
1,WARRIOR,Faceless Manipulator,0.1538,13
1,WARRIOR,Feugen,0.1538,13
1,WARRIOR,Fiery War Axe,1.0,13
1,WARRIOR,Frothing Berserker,0.1538,13
1,WARRIOR,Gorehowl,0.3846,13
1,WARRIOR,Grommash Hellscream,0.7692,13
1,WARRIOR,Harrison Jones,0.2308,13
1,WARRIOR,Harvest Golem,0.1538,13
1,WARRIOR,Haunted Creeper,0.1538,13
1,WARRIOR,Heroic Strike,0.1538,13
1,WARRIOR,Hungry Crab,0.0769,13
1,WARRIOR,Inner Rage,0.2308,13
1,WARRIOR,Jungle Panther,0.0769,13
1,WARRIOR,Kel'Thuzad,0.0769,13
1,WARRIOR,Kor'kron Elite,0.2308,13
1,WARRIOR,Leeroy Jenkins,0.0769,13
1,WARRIOR,Leper Gnome,0.1538,13
1,WARRIOR,Lightwarden,0.0769,13
1,WARRIOR,Loatheb,0.3846,13
1,WARRIOR,Loot Hoarder,0.1538,13
1,WARRIOR,Lord of the Arena,0.0769,13
1,WARRIOR,Lorewalker Cho,0.0769,13
1,WARRIOR,Mad Bomber,0.0769,13
1,WARRIOR,Mind Control Tech,0.0769,13
1,WARRIOR,Mortal Strike,0.1538,13
1,WARRIOR,Questing Adventurer,0.0769,13
1,WARRIOR,Raging Worgen,0.0769,13
1,WARRIOR,Ragnaros the Firelord,0.5385,13
1,WARRIOR,Reckless Rocketeer,0.0769,13
1,WARRIOR,Sen'jin Shieldmasta,0.1538,13
1,WARRIOR,Shade of Naxxramas,0.0769,13
1,WARRIOR,Shield Block,0.9231,13
1,WARRIOR,Shield Slam,0.8462,13
1,WARRIOR,Slam,0.7692,13
1,WARRIOR,Sludge Belcher,0.8462,13
1,WARRIOR,Spectral Knight,0.0769,13
1,WARRIOR,Spellbreaker,0.1538,13
1,WARRIOR,Stalagg,0.3846,13
1,WARRIOR,Sunwalker,0.0769,13
1,WARRIOR,Sylvanas Windrunner,0.3846,13
1,WARRIOR,The Black Knight,0.3077,13
1,WARRIOR,Tinkmaster Overspark,0.1538,13
1,WARRIOR,Undertaker,0.1538,13
1,WARRIOR,Unstable Ghoul,0.6154,13
1,WARRIOR,Warsong Commander,0.0769,13
1,WARRIOR,Whirlwind,0.5385,13
1,WARRIOR,Wild Pyromancer,0.1538,13
1,WARRIOR,Youthful Brewmaster,0.0769,13
1,WARRIOR,Ysera,0.3077,13
1,WARRIOR,Zombie Chow,0.0769,13
2,HUNTER,Abusive Sergeant,0.0833,12
2,HUNTER,Alexstrasza,0.25,12
2,HUNTER,Ancient Brewmaster,0.25,12
2,HUNTER,Animal Companion,0.5833,12
2,HUNTER,Arcane Golem,0.0833,12
2,HUNTER,Arcane Shot,0.25,12
2,HUNTER,Argent Squire,0.1667,12
2,HUNTER,Baron Geddon,0.25,12
2,HUNTER,Baron Rivendare,0.1667,12
2,HUNTER,Cairne Bloodhoof,0.1667,12
2,HUNTER,Deadly Shot,0.25,12
2,HUNTER,Dire Wolf Alpha,0.1667,12
2,HUNTER,Eaglehorn Bow,0.75,12
2,HUNTER,Elven Archer,0.1667,12
2,HUNTER,Explosive Shot,0.3333,12
2,HUNTER,Explosive Trap,0.75,12
2,HUNTER,Feugen,0.0833,12
2,HUNTER,Flare,0.5833,12
2,HUNTER,Freezing Trap,0.75,12
2,HUNTER,Frostwolf Grunt,0.1667,12
2,HUNTER,Goldshire Footman,0.1667,12
2,HUNTER,Harvest Golem,0.1667,12
2,HUNTER,Haunted Creeper,0.5,12
2,HUNTER,Houndmaster,0.3333,12
2,HUNTER,Hungry Crab,0.0833,12
2,HUNTER,Hunter's Mark,0.8333,12
2,HUNTER,Ironbeak Owl,0.0833,12
2,HUNTER,Ironfur Grizzly,0.0833,12
2,HUNTER,Kel'Thuzad,0.1667,12
2,HUNTER,Kill Command,0.25,12
2,HUNTER,King Krush,0.0833,12
2,HUNTER,Knife Juggler,0.0833,12
2,HUNTER,Leeroy Jenkins,0.25,12
2,HUNTER,Leper Gnome,0.6667,12
2,HUNTER,Loatheb,0.3333,12
2,HUNTER,Loot Hoarder,0.3333,12
2,HUNTER,Mad Scientist,0.75,12
2,HUNTER,Maexxna,0.25,12
2,HUNTER,Misdirection,0.4167,12
2,HUNTER,Mogu'shan Warden,0.0833,12
2,HUNTER,Multi-Shot,0.1667,12
2,HUNTER,Murloc Raider,0.1667,12
2,HUNTER,Murloc Tidehunter,0.1667,12
2,HUNTER,Nat Pagle,0.0833,12
2,HUNTER,Nerub'ar Weblord,0.25,12
2,HUNTER,Oasis Snapjaw,0.0833,12
2,HUNTER,Ragnaros the Firelord,0.25,12
2,HUNTER,Savannah Highmane,0.4167,12
2,HUNTER,Scarlet Crusader,0.0833,12
2,HUNTER,Scavenging Hyena,0.0833,12
2,HUNTER,Shieldbearer,0.25,12
2,HUNTER,Silverback Patriarch,0.0833,12
2,HUNTER,Sludge Belcher,0.1667,12
2,HUNTER,Snake Trap,0.0833,12
2,HUNTER,Spectral Knight,0.0833,12
2,HUNTER,Stalagg,0.0833,12
2,HUNTER,Starving Buzzard,0.4167,12
2,HUNTER,Stonetusk Boar,0.25,12
2,HUNTER,Sylvanas Windrunner,0.25,12
2,HUNTER,Timber Wolf,0.1667,12
2,HUNTER,Tracking,0.1667,12
2,HUNTER,Undertaker,0.4167,12
2,HUNTER,Unleash the Hounds,0.75,12
2,HUNTER,Unstable Ghoul,0.25,12
2,HUNTER,Wailing Soul,0.0833,12
2,HUNTER,Webspinner,0.5,12
2,HUNTER,Wisp,0.1667,12
2,HUNTER,Wolfrider,0.0833,12
2,HUNTER,Worgen Infiltrator,0.1667,12
2,HUNTER,Young Dragonhawk,0.1667,12
2,HUNTER,Ysera,0.1667,12
2,MAGE,Acidic Swamp Ooze,0.087,23
2,MAGE,Acolyte of Pain,0.087,23
2,MAGE,Alexstrasza,0.1739,23
2,MAGE,Amani Berserker,0.087,23
2,MAGE,Arcane Explosion,0.3043,23
2,MAGE,Arcane Intellect,0.6522,23
2,MAGE,Arcane Missiles,0.4348,23
2,MAGE,Archmage Antonidas,0.1304,23
2,MAGE,Argent Commander,0.087,23
2,MAGE,Azure Drake,0.3478,23
2,MAGE,Baron Rivendare,0.087,23
2,MAGE,Blizzard,0.4783,23
2,MAGE,Bloodfen Raptor,0.0435,23
2,MAGE,Bloodmage Thalnos,0.1739,23
2,MAGE,Bluegill Warrior,0.1304,23
2,MAGE,Booty Bay Bodyguard,0.087,23
2,MAGE,Cairne Bloodhoof,0.2609,23
2,MAGE,Chillwind Yeti,0.1304,23
2,MAGE,Cone of Cold,0.3478,23
2,MAGE,Counterspell,0.5652,23
2,MAGE,Cult Master,0.087,23
2,MAGE,Dancing Swords,0.1304,23
2,MAGE,Darkscale Healer,0.1304,23
2,MAGE,Deathlord,0.0435,23
2,MAGE,Demolisher,0.1304,23
2,MAGE,Doomsayer,0.3043,23
2,MAGE,Duplicate,0.3043,23
2,MAGE,Earthen Ring Farseer,0.1739,23
2,MAGE,Echoing Ooze,0.0435,23
2,MAGE,Elven Archer,0.2174,23
2,MAGE,Ethereal Arcanist,0.2174,23
2,MAGE,Faerie Dragon,0.1739,23
2,MAGE,Feugen,0.087,23
2,MAGE,Fireball,1.0,23
2,MAGE,Flamestrike,0.8696,23
2,MAGE,Frost Nova,0.4783,23
2,MAGE,Frostbolt,0.8696,23
2,MAGE,Frostwolf Grunt,0.0435,23
2,MAGE,Frostwolf Warlord,0.0435,23
2,MAGE,Gadgetzan Auctioneer,0.087,23
2,MAGE,Gnomish Inventor,0.0435,23
2,MAGE,Harrison Jones,0.087,23
2,MAGE,Harvest Golem,0.087,23
2,MAGE,Hungry Crab,0.0435,23
2,MAGE,Ice Barrier,0.6087,23
2,MAGE,Ice Block,0.5652,23
2,MAGE,Ice Lance,0.2609,23
2,MAGE,Imp Master,0.0435,23
2,MAGE,Kirin Tor Mage,0.2609,23
2,MAGE,Knife Juggler,0.0435,23
2,MAGE,Leper Gnome,0.1304,23
2,MAGE,Loatheb,0.3043,23
2,MAGE,Loot Hoarder,0.2174,23
2,MAGE,Mad Scientist,0.4348,23
2,MAGE,Maexxna,0.087,23
2,MAGE,Mana Wraith,0.1304,23
2,MAGE,Mana Wyrm,0.3043,23
2,MAGE,Mirror Entity,0.2609,23
2,MAGE,Mirror Image,0.2609,23
2,MAGE,Mogu'shan Warden,0.1739,23
2,MAGE,Molten Giant,0.087,23
2,MAGE,Mountain Giant,0.0435,23
